type,id,attributes.title,attributes.description,attributes.station_code,attributes.showPriority,attributes.showTimes,attributes.since,attributes.till,attributes.mirroredShow.title,attributes.audioLinks,relationships.station.links.related,relationships.station.data.type,relationships.station.data.id,relationships.participants.links.related,relationships.participants.data
scheduleEpisode,00004622-799e-3679-8b9d-54fde4e9f776,"Vojta Kotek připomíná významné osobnosti, události, objevy, vynálezy, technické novinky a stavby, které se pojí s naší historií",,23,0,,2023-03-12T08:10:00+01:00,2023-03-12T08:15:00+01:00,Návraty do minulosti 026.,[],https://mujrozhlas.croapi.cz/stations/663e7133-bb52-3477-8d7f-635e43371962,station,663e7133-bb52-3477-8d7f-635e43371962,https://mujrozhlas.croapi.cz/schedule-episode/00004622-799e-3679-8b9d-54fde4e9f776/participants,[]
scheduleEpisode,00005857-079c-344b-9d5c-1c5112f501c8,"Pořad, ve kterém odborníci radí posluchačům v různých oblastech života (lékaři, zahradníci, kuchaři, chovatelé",..) Moderuje Miroslav Hruban.,83,93,,2023-09-22T11:04:00+02:00,2023-09-22T11:40:00+02:00,Radioporadna,[],https://mujrozhlas.croapi.cz/stations/67e26b4a-af56-3153-bb09-eaaaa61a7fc7,station,67e26b4a-af56-3153-bb09-eaaaa61a7fc7,https://mujrozhlas.croapi.cz/schedule-episode/00005857-079c-344b-9d5c-1c5112f501c8/participants,"[{'type': 'person', 'id': 'f384ba30-6adf-3b6b-84db-42e257b59a24', 'meta': {'role': 'host'}}]"
scheduleEpisode,00006cdd-949a-3b19-9314-535af9115537,"Nejnovější zprávy z Libereckého kraje, z domova i ze světa",,28,10,,2023-04-08T05:00:00+02:00,2023-04-08T05:04:00+02:00,Zprávy pro Liberecký kraj,[],https://mujrozhlas.croapi.cz/stations/ad541211-198e-30b7-995c-10bf08c3aea0,station,ad541211-198e-30b7-995c-10bf08c3aea0,https://mujrozhlas.croapi.cz/schedule-episode/00006cdd-949a-3b19-9314-535af9115537/participants,[]
scheduleEpisode,000081be-137d-35fa-bf6a-92e0177a7ecb,"Nejnovější zprávy z Libereckého kraje, z domova i ze světa",,28,10,,2023-02-03T06:30:00+01:00,2023-02-03T06:32:00+01:00,Zprávy pro Liberecký kraj,[],https://mujrozhlas.croapi.cz/stations/ad541211-198e-30b7-995c-10bf08c3aea0,station,ad541211-198e-30b7-995c-10bf08c3aea0,https://mujrozhlas.croapi.cz/schedule-episode/000081be-137d-35fa-bf6a-92e0177a7ecb/participants,[]
scheduleEpisode,0000c1dd-d0d0-364c-8cf7-960cb3a2fdf8,Hitparáda Dvojky,Uvádí Martin Hrdinka.,2,0,,2017-07-30T17:05:55+02:00,2017-07-30T17:59:55+02:00,Česká dvanáctka,[],https://mujrozhlas.croapi.cz/stations/17821883-be2d-3880-b971-eceb794388fa,station,17821883-be2d-3880-b971-eceb794388fa,https://mujrozhlas.croapi.cz/schedule-episode/0000c1dd-d0d0-364c-8cf7-960cb3a2fdf8/participants,"[{'type': 'person', 'id': 'f7d43ceb-4c11-3469-8865-be27137b0e40', 'meta': {'role': 'host'}}]"
scheduleEpisode,0000c26e-946c-3b4e-bca5-b59336cddae7,Pravidelná rubrika o krásách i záludnostech naší mateřštiny,,83,0,,2023-03-20T19:10:00+01:00,2023-03-20T19:13:00+01:00,Hezky česky,[],https://mujrozhlas.croapi.cz/stations/67e26b4a-af56-3153-bb09-eaaaa61a7fc7,station,67e26b4a-af56-3153-bb09-eaaaa61a7fc7,https://mujrozhlas.croapi.cz/schedule-episode/0000c26e-946c-3b4e-bca5-b59336cddae7/participants,[]
scheduleEpisode,0000d67e-103e-3fde-89e4-1a0c9912f725,"Populárně - vědecký magazín Českého rozhlasu s reportážemi, rozhovory a dokumenty o všem, co stojí za to vědět",Připravil Petr Sobotka. Repríza.,2,7,,2020-10-25T17:04:22+01:00,2020-10-25T17:59:40+01:00,Meteor,[],https://mujrozhlas.croapi.cz/stations/17821883-be2d-3880-b971-eceb794388fa,station,17821883-be2d-3880-b971-eceb794388fa,https://mujrozhlas.croapi.cz/schedule-episode/0000d67e-103e-3fde-89e4-1a0c9912f725/participants,[]
scheduleEpisode,0000e532-c828-3f38-aba9-ff0dd7528063,Hudební menu - 23. 1. 2021,,2,0,,2021-01-23T13:47:08+01:00,2021-01-23T13:59:11+01:00,Hudební menu,[],https://mujrozhlas.croapi.cz/stations/17821883-be2d-3880-b971-eceb794388fa,station,17821883-be2d-3880-b971-eceb794388fa,https://mujrozhlas.croapi.cz/schedule-episode/0000e532-c828-3f38-aba9-ff0dd7528063/participants,[]
scheduleEpisode,0000f8bc-9e32-3b50-9a6c-b4282c7da570,Zprávy - 21. 10. 2022,,2,0,,2022-10-21T05:30:00+02:00,2022-10-21T05:33:15+02:00,Zprávy,[],https://mujrozhlas.croapi.cz/stations/17821883-be2d-3880-b971-eceb794388fa,station,17821883-be2d-3880-b971-eceb794388fa,https://mujrozhlas.croapi.cz/schedule-episode/0000f8bc-9e32-3b50-9a6c-b4282c7da570/participants,[]
scheduleEpisode,00010038-4f7d-3a84-8fee-fade0fb31a1c,"Vše, co každé ráno potřebujete: zprávy, informace o počasí, dopravní situace, přehled tisku, zajímavosti z regionu, soutěže a příjemná hudba",Moderuje Jakub Schmidt.,8,0,,2023-03-17T07:04:00+01:00,2023-03-17T08:00:00+01:00,Dobré ráno,[],https://mujrozhlas.croapi.cz/stations/a831a457-9b80-3271-b153-ddf0ee63a18c,station,a831a457-9b80-3271-b153-ddf0ee63a18c,https://mujrozhlas.croapi.cz/schedule-episode/00010038-4f7d-3a84-8fee-fade0fb31a1c/participants,"[{'type': 'person', 'id': '155db11e-19ac-37bc-8136-4fed13db99eb', 'meta': {'role': 'host'}}]"
