type,id,attributes.title,attributes.fulltext_keywords,attributes.position,attributes.asset.id,attributes.asset.url,attributes.asset.width,attributes.asset.height,attributes.asset.focal_point,attributes.asset.credit.author,attributes.asset.credit.source,attributes.asset.credit.license,attributes.asset.credit.description,attributes.asset.credit.origin_url,relationships.episode.links.related,relationships.episode.meta.count,relationships.episode.data
topic,fdb37f89-29c9-4faf-be29-e867def891cb,Archiv,"archiv, z archivu, historie, rozhlas, archív, auditorium",23,fcf52c82-7eec-3c3f-a97a-f34b3ac68b0b,https://www.mujrozhlas.cz/sites/default/files/2020-03/Archiv.jpg,2000,2000,"50,50",,,,Archiv,,https://mujrozhlas.croapi.cz/topics/fdb37f89-29c9-4faf-be29-e867def891cb/episodes,100,"[{'type': 'episode', 'id': '9209140a-5b20-3a87-b102-4064e5cbd1bb'}, {'type': 'episode', 'id': '2690d852-8d79-304c-91a4-6d771962d6fb'}, {'type': 'episode', 'id': 'd62c2a61-8666-38a2-a225-1d9b77ca766f'}, {'type': 'episode', 'id': 'a17201e9-4747-39f9-a710-13523688b971'}, {'type': 'episode', 'id': '8afa6852-45da-4ad8-bf16-2dc3527e55fd'}, {'type': 'episode', 'id': '538a56b4-0b13-3644-9d96-210469d4d11a'}, {'type': 'episode', 'id': 'e86bb9ab-ba39-3954-9b7c-ff4962eb9e25'}, {'type': 'episode', 'id': 'adbdb8bb-225b-319a-bcbe-7ea9e05ec1be'}, {'type': 'episode', 'id': 'd5459957-ae84-443b-a868-18eced817a8d'}, {'type': 'episode', 'id': '60919626-30c1-3967-a999-4d00d75a5511'}]"
topic,07d5a42f-8275-4bae-925e-213cdf0ebd18,Cestování,"Cestování, Výlety, Dovolená, Výlet",11,c302832f-c5b2-3d7c-a48d-0692fa9a577e,https://www.mujrozhlas.cz/sites/default/files/2021-06/cestovani.png,955,963,"50,50",,,,Cestování,,https://mujrozhlas.croapi.cz/topics/07d5a42f-8275-4bae-925e-213cdf0ebd18/episodes,100,"[{'type': 'episode', 'id': 'bd4b941f-e85c-3386-8d67-0222688b08ae'}, {'type': 'episode', 'id': 'aae3e949-0e08-336c-b068-04a99605c158'}, {'type': 'episode', 'id': '6eb28bae-5d9c-3a30-ad6c-5af593c13a8f'}, {'type': 'episode', 'id': '068e5342-254a-34a9-86f4-fb3fc471a662'}, {'type': 'episode', 'id': '63ba7b62-a551-3c06-8348-dfc12113e595'}, {'type': 'episode', 'id': '28fc9386-1380-3aa5-b083-4e7b38748c8e'}, {'type': 'episode', 'id': '40f44954-dfce-37a8-8b63-910036839910'}, {'type': 'episode', 'id': '635e9ab5-2c5f-3a59-8527-dd57a920e801'}, {'type': 'episode', 'id': '9b714c7d-f11e-37ed-9732-47bc8ededd89'}, {'type': 'episode', 'id': '65f205ac-f0c6-3276-b2a0-261a9ff72e7c'}]"
topic,c0e5a883-9466-4645-bd36-f1693dbc616e,Digitální svět,"digitál, internet, digitální svět, technologie, média, nové technologie, nová média",22,68f161ed-212f-32e0-bab6-ead0e66b6a22,https://www.mujrozhlas.cz/sites/default/files/2020-03/Digi.png,961,955,"50,50",,,,Digitální svět,,https://mujrozhlas.croapi.cz/topics/c0e5a883-9466-4645-bd36-f1693dbc616e/episodes,100,"[{'type': 'episode', 'id': '1901d47e-4faf-320c-b513-593454e1a9da'}, {'type': 'episode', 'id': 'd32b5ae2-3480-3cd0-9d68-16fda341d407'}, {'type': 'episode', 'id': 'ed8c3616-ec2d-3fb4-a482-5589ba42604a'}, {'type': 'episode', 'id': '20752ccd-08c6-3136-99b2-19713bd548ad'}, {'type': 'episode', 'id': 'cfa94e75-7a21-3f48-9d4f-a2e1052c2cf1'}, {'type': 'episode', 'id': '23ddfcea-d60c-34b9-ba38-dcaa93b0f656'}, {'type': 'episode', 'id': '8d9cc39a-1266-33c1-a641-8e79b5be0e4e'}, {'type': 'episode', 'id': '6dd4b001-2e1d-3662-b098-8eb2a3ace35c'}, {'type': 'episode', 'id': 'e558195e-c1a8-3b59-afca-6708b8285e98'}, {'type': 'episode', 'id': '0497ec56-c112-3430-8aac-3a3cd7463f10'}]"
topic,d4ee0d9a-93f0-4008-b0d2-59db4df3c038,Dlia ukraintsiv,,9,21044493-2a33-3bd8-af89-9699d7a92fc0,https://www.mujrozhlas.cz/sites/default/files/2022-03/69764c5ce1da1735812aea9557d91f55_0.jpg,2347,3507,"50,50",,,,Dlia ukraintsiv,,https://mujrozhlas.croapi.cz/topics/d4ee0d9a-93f0-4008-b0d2-59db4df3c038/episodes,100,"[{'type': 'episode', 'id': '20709c9d-d16a-3e9f-b309-3f4285f47251'}, {'type': 'episode', 'id': '8ad5fc53-5ba2-33a6-a66a-1f5ddba9a2d4'}, {'type': 'episode', 'id': '59ae0da6-d01a-3a80-aee5-9110127ddf45'}, {'type': 'episode', 'id': 'eef5235f-357b-34c7-93f1-daa8b1799622'}, {'type': 'episode', 'id': '3c84f982-f8ad-3feb-8f06-2053b35d466c'}, {'type': 'episode', 'id': '67ab9392-e919-318d-b670-576f4327d7e1'}, {'type': 'episode', 'id': '9e084d2f-67d5-345c-bb86-929110e61cf7'}, {'type': 'episode', 'id': '3028c331-e8a2-3614-9c23-494578472f22'}, {'type': 'episode', 'id': 'ec06c177-139d-3a64-8980-c8073a87358c'}, {'type': 'episode', 'id': '68d9b366-d60c-3e09-a8b2-2a92c268b364'}]"
topic,05bc9bd7-7a9d-49a6-b1aa-12a7bfb558f7,Dokumenty,"dokument, dokudrama, dokuvlna",4,74827265-69c5-351e-a9db-ea0bccf7aacb,https://www.mujrozhlas.cz/sites/default/files/2020-03/dokumenty.jpg,957,951,"50,50",,,,Dokumenty,,https://mujrozhlas.croapi.cz/topics/05bc9bd7-7a9d-49a6-b1aa-12a7bfb558f7/episodes,100,"[{'type': 'episode', 'id': '1fb64f45-92ce-3c99-abfd-0a82ccb39422'}, {'type': 'episode', 'id': '8a39bf4d-a4b3-3990-b926-2e72a94615a4'}, {'type': 'episode', 'id': 'ed46f989-60c7-31ee-9faa-8d9c42bd0279'}, {'type': 'episode', 'id': 'eaa5196d-f6d0-3d86-a37c-0a363cdd9c9a'}, {'type': 'episode', 'id': '6f5fe6b3-a55d-358c-95e8-4c9ddaeb271d'}, {'type': 'episode', 'id': 'add97de8-77a9-3efd-86c8-618121f41de0'}, {'type': 'episode', 'id': '608e9cc8-9c5a-3fe7-a7ca-25482245e1ec'}, {'type': 'episode', 'id': 'fd005326-0de2-3fd8-a632-2abc47e63561'}, {'type': 'episode', 'id': '547d33de-da72-3853-8fde-d11c6f8fd37e'}, {'type': 'episode', 'id': 'a2028f0b-ed15-371a-b62f-309eb5577af3'}]"
topic,345a4b21-00cc-41e0-9383-47d4e8e54f8e,English,,5,60925b3f-0831-36df-a930-1cac85cf9204,https://www.mujrozhlas.cz/sites/default/files/2022-07/1a451b328c8cce030681f50adde439b4.png,584,1040,"50,50",,,,English episodes,,https://mujrozhlas.croapi.cz/topics/345a4b21-00cc-41e0-9383-47d4e8e54f8e/episodes,100,"[{'type': 'episode', 'id': '8bf30790-b840-31c3-9d23-71a9ae6ef410'}, {'type': 'episode', 'id': 'e98901ba-1800-3376-a91f-ea7c79564697'}, {'type': 'episode', 'id': '0c2cca40-a374-3933-a45f-a0f884df378a'}, {'type': 'episode', 'id': '18ee06df-45ce-32a1-bc05-91d114c484ff'}, {'type': 'episode', 'id': 'b8d37018-ee80-3152-9f70-38e9e7a078bc'}, {'type': 'episode', 'id': '6571686c-cd77-3930-b911-02b7058ccbe1'}, {'type': 'episode', 'id': '0975d6f7-c5f7-3dac-b329-2679d9cb36fa'}, {'type': 'episode', 'id': 'fb4a9fa6-ac3b-3be8-bced-1c8205e3d7cb'}, {'type': 'episode', 'id': 'e9e74f87-e7e7-3166-9da6-ca81f0a51a6d'}, {'type': 'episode', 'id': '648d3ac4-40a5-3008-ac42-9b7b9baa6360'}]"
topic,71ecc005-ed83-4533-a50d-4494fcd70fbf,Historie,"Historie, Dějiny",20,8e54d093-c534-3a1c-a564-55185e22951a,https://www.mujrozhlas.cz/sites/default/files/2020-03/historie.jpg,959,955,"50,50",,,,Historie,,https://mujrozhlas.croapi.cz/topics/71ecc005-ed83-4533-a50d-4494fcd70fbf/episodes,100,"[{'type': 'episode', 'id': '9209140a-5b20-3a87-b102-4064e5cbd1bb'}, {'type': 'episode', 'id': '9c601fcf-f443-3126-9dd9-7cdea5a3b9c4'}, {'type': 'episode', 'id': 'c2fc3f31-1754-3387-96b3-e37b04c59263'}, {'type': 'episode', 'id': 'e10b5ed4-5cc1-3920-bb7e-853f99667b08'}, {'type': 'episode', 'id': '43c5fc11-c32a-37f9-8f5b-00a620728031'}, {'type': 'episode', 'id': '7bd7c91d-be84-346a-8b9c-ee019c152f8b'}, {'type': 'episode', 'id': 'd62c2a61-8666-38a2-a225-1d9b77ca766f'}, {'type': 'episode', 'id': '2690d852-8d79-304c-91a4-6d771962d6fb'}, {'type': 'episode', 'id': 'a17201e9-4747-39f9-a710-13523688b971'}, {'type': 'episode', 'id': '865b4a93-7c44-3813-87c0-ede4209e5879'}]"
topic,671d0806-2afe-4282-ae90-319b6ef369a2,"Hry, četby, povídky","Audio kniha, Četba, Četba na pokračování, Audioknihy, Mluvené slovo, Hry, Hra, Rozhlasová hra, povídky, Povídka, slovo, Dramatizace, literatura, detektivka, detektivky, radiokniha, historie českého zločinu, rozhlasové hry, kriminálka",16,468e4370-e197-3748-a8c8-0bf81a768701,https://www.mujrozhlas.cz/sites/default/files/2021-06/hrycetba.jpeg,2000,2000,"50,50",,,,Hry a četba,,https://mujrozhlas.croapi.cz/topics/671d0806-2afe-4282-ae90-319b6ef369a2/episodes,100,"[{'type': 'episode', 'id': '2c934f03-9eb8-38f1-b403-4d8c6641bacb'}, {'type': 'episode', 'id': 'ba43a5f5-3c39-36c2-a812-1d53da7ff520'}, {'type': 'episode', 'id': 'c8e71841-f991-389d-8c9b-f36a981edfbd'}, {'type': 'episode', 'id': '128110bd-24a3-30a2-8f8c-86a0612fc8bd'}, {'type': 'episode', 'id': 'b5fc91a9-88f7-3b75-a08a-f0fe0fb0aa42'}, {'type': 'episode', 'id': 'af1a49bd-beda-339e-9c17-44e3b019ea57'}, {'type': 'episode', 'id': 'bbe0d84f-2c55-3bbf-98a1-fd8f0e559645'}, {'type': 'episode', 'id': 'de79ad80-9dd7-3516-aa19-8fd7a785f872'}, {'type': 'episode', 'id': 'd8652627-e665-30b4-9595-88d0cf7afeaa'}, {'type': 'episode', 'id': '95a362ab-bb5b-38b4-b63f-fcbcaacd955a'}]"
topic,bf9e35ee-6465-44a2-930b-cac77a5faea5,Hudba,"Hudba, Muzika, Vážná hudba, noty, skladatelé, muzikant, hudebník",24,4f3b0b91-18c3-3c22-a61e-953743413f24,https://www.mujrozhlas.cz/sites/default/files/2020-03/hudba.png,967,961,"50,50",,,,Hudba,,https://mujrozhlas.croapi.cz/topics/bf9e35ee-6465-44a2-930b-cac77a5faea5/episodes,100,"[{'type': 'episode', 'id': '7c7b3457-f163-36d7-9529-1927bc04be43'}, {'type': 'episode', 'id': '702399d4-2580-376d-9730-bd271cd15ff2'}, {'type': 'episode', 'id': '4eaa10a8-4a19-35b4-afec-077a8c2e6ce6'}, {'type': 'episode', 'id': '4ec1cbfc-0f44-3e4e-a02d-c775a9bb254a'}, {'type': 'episode', 'id': '4b39a5ec-c41c-3e91-9737-5d5f5a3c394b'}, {'type': 'episode', 'id': '9a844b7e-c546-376b-8c35-6525819be871'}, {'type': 'episode', 'id': 'edf745e3-c22f-3b9a-961b-02b42542fdea'}, {'type': 'episode', 'id': '6c402a9d-934f-37de-a024-761d7b244147'}, {'type': 'episode', 'id': '08de8060-0603-3e0e-b202-ae017dee4a86'}, {'type': 'episode', 'id': 'b18978fe-270f-3016-9be4-3c1840b2767f'}]"
topic,ceb50514-8068-4ada-97c1-87351b4bde29,Jídlo a gastronomie,"Gastronomie, Gastro, Food, recept, Recepty, Vaření, jídlo, jídla",10,eedc25ec-d6ae-3787-898b-f0902e1b6ca7,https://www.mujrozhlas.cz/sites/default/files/2020-03/Jidlo.jpg,2000,2000,"50,50",,,,Jídlo a gastronomie,,https://mujrozhlas.croapi.cz/topics/ceb50514-8068-4ada-97c1-87351b4bde29/episodes,100,"[{'type': 'episode', 'id': 'fdd92c6d-66b6-3ba9-b546-fe47ff7cb2c0'}, {'type': 'episode', 'id': '2bf62a10-3f0e-3f72-a0e0-58161d5ac169'}, {'type': 'episode', 'id': '9ac30ac5-938e-3250-a634-10cc043fa595'}, {'type': 'episode', 'id': '320fd99c-cd5d-39f9-b179-8bdbba792a3d'}, {'type': 'episode', 'id': 'e9f054bf-eaab-3f1e-8467-93f75a184273'}, {'type': 'episode', 'id': 'b051fc0f-e3c2-36ec-a81e-889f9bba5d9d'}, {'type': 'episode', 'id': '934bac08-1718-326a-b297-7ecb56b07858'}, {'type': 'episode', 'id': '4767223c-c049-3917-ae08-456fd9e7b800'}, {'type': 'episode', 'id': 'd98e14ad-9692-3260-8be6-0c2bb7fe02d1'}, {'type': 'episode', 'id': '0b68966d-4b74-302a-bac6-eeaa3e16d81e'}]"
