type,id,attributes.title,attributes.shortTitle,attributes.subtitle,attributes.color,attributes.code,attributes.priority,attributes.stationType,attributes.audioLinks,attributes.asset.id,attributes.asset.url,attributes.asset.width,attributes.asset.height,attributes.asset.focal_point,attributes.asset.credit.author,attributes.asset.credit.source,attributes.asset.credit.license,attributes.asset.credit.description,attributes.asset.credit.origin_url,attributes.logo,attributes.logoIcon,attributes.contact.web,meta.ga.siteBroadcastStation
station,4082f63f-30e8-375d-a326-b32cf7d86e02,Český rozhlas Radiožurnál,Radiožurnál,,#ED2E38,radiozurnal,1,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/radiozurnal_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Zurnal.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Zurnal.stream/playlist.m3u8?DVR'}]",3e911e16-fcd0-4320-910e-75f58bcc47c3,https://data.rozhlas.cz/api/v2/asset/station/radiozurnal.jpg,2048,1365,"50,50",,,,Logo - Radiožurnál,,https://www.mujrozhlas.cz/sites/default/files/station/logo/radiozurnal.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-radiozurnal.jpg,https://radiozurnal.rozhlas.cz,radiozurnal
station,17821883-be2d-3880-b971-eceb794388fa,Český rozhlas Dvojka,Dvojka,,#85248F,dvojka,2,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/dvojka_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/dvojka_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/dvojka.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/dvojka_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Dvojka.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Dvojka.stream/playlist.m3u8?DVR'}]",92cb2fb0-2f43-486c-a1aa-5400c249d6e5,https://data.rozhlas.cz/api/v2/asset/station/dvojka.jpg,2100,1400,"50,50",,,,Logo - Dvojka,,https://www.mujrozhlas.cz/sites/default/files/station/logo/dvojka.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-dvojka.jpg,https://dvojka.rozhlas.cz,dvojka
station,0134ce01-8684-3556-b568-f208392ac0bd,Český rozhlas Vltava,Vltava,,#00B8E0,vltava,3,allover,"[{'variant': 'aac', 'bitrate': 32, 'quality': 'flac', 'linkType': 'directstream', 'url': 'https://amp.cesnet.cz:8443/cro3.flac'}, {'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/vltava_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/vltava_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/vltava.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/vltava_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Vltava.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Vltava.stream/playlist.m3u8?DVR'}]",ee20d532-bf44-497e-ab6d-ce91b4e73f63,https://data.rozhlas.cz/api/v2/asset/station/vltava.jpg,2100,1400,"50,50",,,,Logo - Vltava,,https://www.mujrozhlas.cz/sites/default/files/station/logo/vltava.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-vltava.jpg,https://vltava.rozhlas.cz,vltava
station,c639d927-f37b-3db8-a64f-1d64ee1469b2,Český rozhlas Plus,Plus,,#DE7008,plus,4,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/plus_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/plus_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/plus.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/plus_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Plus.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Plus.stream/playlist.m3u8?DVR'}]",b539054e-85b8-40b1-9a44-ea645cca8a9d,https://data.rozhlas.cz/api/v2/asset/station/plus.jpg,2100,1400,"50,50",,,,Logo - Plus,,https://www.mujrozhlas.cz/sites/default/files/station/logo/plus.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-plus.jpg,https://plus.rozhlas.cz,plus
station,93eabdcd-ccc5-311d-825b-6f5d6509db53,Český rozhlas Radiožurnál Sport,Radiožurnál Sport,,#ED2E38,radiozurnal-sport,5,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal_sport_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal_sport_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radiozurnal_sport.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/sport_mp3_64.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Sport.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Sport.stream/playlist.m3u8?DVR'}]",8c9d592a-9914-3e93-a52f-738faf809be3,https://portal.rozhlas.cz/sites/default/files/images/8d8bb8ff1ae6f0986fc285f8d53e1c38.png,1200,627,"29,48",Český rozhlas,,,radiozurnalsportogimage.png,,https://www.mujrozhlas.cz/sites/default/files/station/logo/radiozurnal-sport.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-radiozurnal-sport.jpg,https://sport.rozhlas.cz,radiozurnal-sport
station,6ab28be7-cdc8-3222-bd6e-c229553125fb,Český rozhlas Radio Wave,Radio Wave,,#CDA200,radiowave,6,allover,"[{'variant': 'aac', 'bitrate': 32, 'quality': 'flac', 'linkType': 'directstream', 'url': 'https://amp.cesnet.cz:8443/cro-radio-wave.flac'}, {'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_wave_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_wave_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_wave.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/wave_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Wave.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Wave.stream/playlist.m3u8?DVR'}]",7237a7e7-2635-4901-b13c-89465ca4ba00,https://data.rozhlas.cz/api/v2/asset/station/radiowave.jpg,2100,1400,"50,50",,,,Logo - Wave,,https://www.mujrozhlas.cz/sites/default/files/station/logo/radiowave.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-radiowave.jpg,https://wave.rozhlas.cz,radio-wave
station,e26a14b0-35d5-3b55-a6c8-679d2c6e0526,Český rozhlas D-dur,D-dur,,#AB035C,d-dur,7,allover,"[{'variant': 'aac', 'bitrate': 32, 'quality': 'flac', 'linkType': 'directstream', 'url': 'https://amp.cesnet.cz:8443/cro-d-dur.flac'}, {'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/ddur_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/ddur_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/ddur.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/ddur_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/DDur.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/DDur.stream/playlist.m3u8?DVR'}]",c79bdeb6-f4e5-4ef8-b6ed-961a1d1c95c1,https://data.rozhlas.cz/api/v2/asset/station/d-dur.jpg,2100,1400,"50,50",,,,Logo - D-dur,,https://www.mujrozhlas.cz/sites/default/files/station/logo/d-dur.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-d-dur.jpg,https://d-dur.rozhlas.cz,d-dur
station,97c7be64-fdbf-39aa-812b-8be31e9438db,Český rozhlas Jazz,Jazz,,#00809E,jazz,8,allover,"[{'variant': 'aac', 'bitrate': 32, 'quality': 'flac', 'linkType': 'directstream', 'url': 'https://amp.cesnet.cz:8443/cro-jazz.flac'}, {'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/jazz_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/jazz_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/jazz.mp3'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_aac_128.aac.m3u'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/jazz_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Jazz.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Jazz.stream/playlist.m3u8?DVR'}]",241cdd34-f36e-4c82-bb71-44ca6edf7479,https://data.rozhlas.cz/api/v2/asset/station/jazz.jpg,2100,1400,"50,50",,,,Logo - Jazz,,https://www.mujrozhlas.cz/sites/default/files/station/logo/jazz.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-jazz.jpg,https://jazz.rozhlas.cz,jazz
station,ebbbe99a-bf40-30b4-9e90-a9406b20e5a2,Český rozhlas Pohoda,Pohoda,Český rozhlas,#000f37,pohoda,9,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/pohoda_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/pohoda_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/pohoda_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/pohoda_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/pohoda.mp3'}, {'variant': 'mp3', 'bitrate': 256, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/pohoda_mp3_256.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/pohoda_mp3_64.mp3.m3u'}, {'variant': 'aac', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/pohoda_aac_128.aac.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Pohoda.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Pohoda.stream/playlist.m3u8?DVR'}]",98957416-4fd2-305e-aafa-ed938277d47a,https://portal.rozhlas.cz/sites/default/files/images/b951683ddc4ed8b5094ec0aee744bd1c.jpg,2100,1400,"53,44",Marie Votavová,Český rozhlas,,Dana Syslová je tváří Českého rozhlasu Pohoda,,https://www.mujrozhlas.cz/sites/default/files/station/logo/pohoda.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-pohoda.jpg,https://pohoda.rozhlas.cz,pohoda
station,598a62af-86b5-3485-b89d-65379562694a,Rádio Junior,Rádio Junior,,#000F37,radiojunior,10,allover,"[{'variant': 'aac', 'bitrate': 160, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_junior_high.aac'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/juniormaxi_aac_64.aac.m3u'}, {'variant': 'aac', 'bitrate': 64, 'quality': 'low', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_junior_low.aac'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/juniormaxi_mp3_128.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 128, 'quality': 'normal', 'linkType': 'directstream', 'url': 'https://rozhlas.stream/radio_junior.mp3'}, {'variant': 'aac', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/juniormaxi_aac_32.aac.m3u'}, {'variant': 'mp3', 'bitrate': 64, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/juniormaxi_mp3_64.mp3.m3u'}, {'variant': 'mp3', 'bitrate': 32, 'quality': 'low', 'linkType': 'livestream', 'url': 'https://rozhlas.stream/juniormaxi_mp3_32.mp3.m3u'}, {'variant': 'dash', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Junior.stream/manifest.mpd?DVR'}, {'variant': 'hls', 'bitrate': 64, 'quality': 'low', 'linkType': 'timeshift', 'url': 'https://wowza.radia.cz/CRo/Junior.stream/playlist.m3u8?DVR'}]",d090a028-84cb-4297-b0c5-0f41426cd8f3,https://data.rozhlas.cz/api/v2/asset/station/radiojunior.jpg,2100,1400,"50,50",,,,Logo - Junior,,https://www.mujrozhlas.cz/sites/default/files/station/logo/radiojunior.svg,https://portal.rozhlas.cz/sites/default/files/images/logoikona/podcast-radiojunior.jpg,http://www.radiojunior.cz,radio-junior
