type,id,attributes.title,attributes.fulltext_keywords,attributes.position,attributes.asset.id,attributes.asset.url,attributes.asset.width,attributes.asset.height,attributes.asset.focal_point,attributes.asset.credit.author,attributes.asset.credit.source,attributes.asset.credit.license,attributes.asset.credit.description,attributes.asset.credit.origin_url,relationships.episode.links.related,relationships.episode.meta.count,relationships.episode.data
topic,fdb37f89-29c9-4faf-be29-e867def891cb,Archiv,"archiv, z archivu, historie, rozhlas, archív, auditorium",23,fcf52c82-7eec-3c3f-a97a-f34b3ac68b0b,https://www.mujrozhlas.cz/sites/default/files/2020-03/Archiv.jpg,2000,2000,"50,50",,,,Archiv,,https://mujrozhlas.croapi.cz/topics/fdb37f89-29c9-4faf-be29-e867def891cb/episodes,100,"[{'type': 'episode', 'id': 'f94e27f0-b22a-42d7-ba61-da9e765f9791'}, {'type': 'episode', 'id': '90b37690-e6d0-4d34-bb43-374239be60ab'}, {'type': 'episode', 'id': '85774b49-a220-312f-90c5-79d59494cd04'}, {'type': 'episode', 'id': '50ed11c0-285f-4445-88c4-e89fe49d7d30'}, {'type': 'episode', 'id': '397c7ca9-d50f-3867-b673-1bb882036637'}, {'type': 'episode', 'id': '7cc0fdf5-1de2-4d91-94bb-bddf2c94a021'}, {'type': 'episode', 'id': 'ae833034-4f0b-34ee-91ca-1897be4cd1c4'}, {'type': 'episode', 'id': '60dc6eb9-ea1d-47fa-80d6-d01503d28e17'}, {'type': 'episode', 'id': 'dc8fa5b8-0bba-3c28-a67a-c11c7703f8ea'}, {'type': 'episode', 'id': '0633866c-844e-331c-900b-f962e626c262'}]"
topic,07d5a42f-8275-4bae-925e-213cdf0ebd18,Cestování,"Cestování, Výlety, Dovolená, Výlet",11,c302832f-c5b2-3d7c-a48d-0692fa9a577e,https://www.mujrozhlas.cz/sites/default/files/2021-06/cestovani.png,955,963,"50,50",,,,Cestování,,https://mujrozhlas.croapi.cz/topics/07d5a42f-8275-4bae-925e-213cdf0ebd18/episodes,100,"[{'type': 'episode', 'id': '003b63d4-81a0-331a-88b9-a3e1e315a616'}, {'type': 'episode', 'id': '2d2347de-3c0d-3abb-9dca-2245eb32e132'}, {'type': 'episode', 'id': '03b231c1-f12e-3190-bb5c-1606ca926310'}, {'type': 'episode', 'id': '6eedd947-11b7-33dd-900e-5ab397ecaa36'}, {'type': 'episode', 'id': '7efe8b5c-66f1-3b2c-a187-7cb63801a0e1'}, {'type': 'episode', 'id': '389cfc95-fa33-33b4-900b-4b324ccaf7e0'}, {'type': 'episode', 'id': 'db88e4e0-c03e-37e6-b2db-92a0ba3b68e5'}, {'type': 'episode', 'id': 'd6ebde65-2234-3ae0-9bfe-a55dc1183073'}, {'type': 'episode', 'id': '7d10010c-4476-365a-9ae3-c33317289fb9'}, {'type': 'episode', 'id': 'd74f4662-e1ae-33b2-a0af-628dcc7f7791'}]"
topic,c0e5a883-9466-4645-bd36-f1693dbc616e,Digitální svět,"digitál, internet, digitální svět, technologie, média, nové technologie, nová média",22,68f161ed-212f-32e0-bab6-ead0e66b6a22,https://www.mujrozhlas.cz/sites/default/files/2020-03/Digi.png,961,955,"50,50",,,,Digitální svět,,https://mujrozhlas.croapi.cz/topics/c0e5a883-9466-4645-bd36-f1693dbc616e/episodes,100,"[{'type': 'episode', 'id': '0497ec56-c112-3430-8aac-3a3cd7463f10'}, {'type': 'episode', 'id': '5614590a-bf96-34d0-b639-46d2c3c07544'}, {'type': 'episode', 'id': '3c626a5e-ba0a-3f51-97a5-c34fb28dd68a'}, {'type': 'episode', 'id': '6ad8944c-d0ff-3380-b0b5-25ce0604578f'}, {'type': 'episode', 'id': 'adf5ec81-12a1-32a3-bde5-9554cd58d6bc'}, {'type': 'episode', 'id': '275a7363-a1d8-3c84-9059-44d0b01ea8df'}, {'type': 'episode', 'id': '427df55c-e75e-3515-8c53-205b97b34491'}, {'type': 'episode', 'id': '6c9fb693-e9ea-3bec-86b4-da23f840176b'}, {'type': 'episode', 'id': '28140be1-1a67-3267-bbce-ea1065d5dd0b'}, {'type': 'episode', 'id': '8c52f42c-0639-3b7c-9ebf-846c2d8980bb'}]"
topic,d4ee0d9a-93f0-4008-b0d2-59db4df3c038,Dlia ukraintsiv,,9,21044493-2a33-3bd8-af89-9699d7a92fc0,https://www.mujrozhlas.cz/sites/default/files/2022-03/69764c5ce1da1735812aea9557d91f55_0.jpg,2347,3507,"50,50",,,,Dlia ukraintsiv,,https://mujrozhlas.croapi.cz/topics/d4ee0d9a-93f0-4008-b0d2-59db4df3c038/episodes,100,"[{'type': 'episode', 'id': '59ae0da6-d01a-3a80-aee5-9110127ddf45'}, {'type': 'episode', 'id': 'eef5235f-357b-34c7-93f1-daa8b1799622'}, {'type': 'episode', 'id': '3c84f982-f8ad-3feb-8f06-2053b35d466c'}, {'type': 'episode', 'id': '67ab9392-e919-318d-b670-576f4327d7e1'}, {'type': 'episode', 'id': '9e084d2f-67d5-345c-bb86-929110e61cf7'}, {'type': 'episode', 'id': '3028c331-e8a2-3614-9c23-494578472f22'}, {'type': 'episode', 'id': 'ec06c177-139d-3a64-8980-c8073a87358c'}, {'type': 'episode', 'id': '68d9b366-d60c-3e09-a8b2-2a92c268b364'}, {'type': 'episode', 'id': 'c956548b-dcef-3c57-8808-714a0255a11f'}, {'type': 'episode', 'id': '1f795d41-518c-32e7-888b-c4594efa6baf'}]"
topic,05bc9bd7-7a9d-49a6-b1aa-12a7bfb558f7,Dokumenty,"dokument, dokudrama, dokuvlna",4,74827265-69c5-351e-a9db-ea0bccf7aacb,https://www.mujrozhlas.cz/sites/default/files/2020-03/dokumenty.jpg,957,951,"50,50",,,,Dokumenty,,https://mujrozhlas.croapi.cz/topics/05bc9bd7-7a9d-49a6-b1aa-12a7bfb558f7/episodes,100,"[{'type': 'episode', 'id': 'eaa5196d-f6d0-3d86-a37c-0a363cdd9c9a'}, {'type': 'episode', 'id': '6f5fe6b3-a55d-358c-95e8-4c9ddaeb271d'}, {'type': 'episode', 'id': 'add97de8-77a9-3efd-86c8-618121f41de0'}, {'type': 'episode', 'id': '608e9cc8-9c5a-3fe7-a7ca-25482245e1ec'}, {'type': 'episode', 'id': 'fd005326-0de2-3fd8-a632-2abc47e63561'}, {'type': 'episode', 'id': 'ed46f989-60c7-31ee-9faa-8d9c42bd0279'}, {'type': 'episode', 'id': '547d33de-da72-3853-8fde-d11c6f8fd37e'}, {'type': 'episode', 'id': 'a2028f0b-ed15-371a-b62f-309eb5577af3'}, {'type': 'episode', 'id': 'af38ff6d-0788-37b2-94af-4d80d48efed7'}, {'type': 'episode', 'id': 'b32f983d-da8f-3b1f-80f9-56692a82ac23'}]"
topic,345a4b21-00cc-41e0-9383-47d4e8e54f8e,English,,5,60925b3f-0831-36df-a930-1cac85cf9204,https://www.mujrozhlas.cz/sites/default/files/2022-07/1a451b328c8cce030681f50adde439b4.png,584,1040,"50,50",,,,English episodes,,https://mujrozhlas.croapi.cz/topics/345a4b21-00cc-41e0-9383-47d4e8e54f8e/episodes,100,"[{'type': 'episode', 'id': '6abf0bff-89b1-3246-8a89-c4c1526266de'}, {'type': 'episode', 'id': '526f7c0d-75a8-39e5-9d60-a8d2e92c5d06'}, {'type': 'episode', 'id': 'f927a70b-e1b0-3014-93bd-1c0609bc33a7'}, {'type': 'episode', 'id': '97890435-6815-3a0d-a7ff-89c93d0d86aa'}, {'type': 'episode', 'id': '78163120-a651-3913-8865-0a5a759c71f8'}, {'type': 'episode', 'id': 'e31b9bd5-04d3-308f-ab3f-9fa7ea83913f'}, {'type': 'episode', 'id': '441bc1d6-e20c-3acc-9d7e-30a178a6c10b'}, {'type': 'episode', 'id': '105395dc-5067-3991-81a1-19e269e0ed58'}, {'type': 'episode', 'id': '3705f4fa-e636-3502-aa24-7392ca0e782b'}, {'type': 'episode', 'id': '8d18b33b-0cbd-3849-8fe4-ba97dde64c75'}]"
topic,71ecc005-ed83-4533-a50d-4494fcd70fbf,Historie,"Historie, Dějiny",20,8e54d093-c534-3a1c-a564-55185e22951a,https://www.mujrozhlas.cz/sites/default/files/2020-03/historie.jpg,959,955,"50,50",,,,Historie,,https://mujrozhlas.croapi.cz/topics/71ecc005-ed83-4533-a50d-4494fcd70fbf/episodes,100,"[{'type': 'episode', 'id': '85774b49-a220-312f-90c5-79d59494cd04'}, {'type': 'episode', 'id': '397c7ca9-d50f-3867-b673-1bb882036637'}, {'type': 'episode', 'id': '1b2a957f-4150-327b-8dd3-5f21c917ca3d'}, {'type': 'episode', 'id': 'ae833034-4f0b-34ee-91ca-1897be4cd1c4'}, {'type': 'episode', 'id': '52b03b98-c904-3313-885b-6d2c26d1b56e'}, {'type': 'episode', 'id': '0633866c-844e-331c-900b-f962e626c262'}, {'type': 'episode', 'id': 'dc8fa5b8-0bba-3c28-a67a-c11c7703f8ea'}, {'type': 'episode', 'id': '20031aba-f4c8-3b1d-9848-07fdbd8d3381'}, {'type': 'episode', 'id': '1c6b59bc-4594-32de-aed0-8fd0b3ab1d2f'}, {'type': 'episode', 'id': 'f7fd9a99-b06d-3776-b29c-cba90a4cf5aa'}]"
topic,671d0806-2afe-4282-ae90-319b6ef369a2,"Hry, četby, povídky","Audio kniha, Četba, Četba na pokračování, Audioknihy, Mluvené slovo, Hry, Hra, Rozhlasová hra, povídky, Povídka, slovo, Dramatizace, literatura, detektivka, detektivky, radiokniha, historie českého zločinu, rozhlasové hry, kriminálka",16,468e4370-e197-3748-a8c8-0bf81a768701,https://www.mujrozhlas.cz/sites/default/files/2021-06/hrycetba.jpeg,2000,2000,"50,50",,,,Hry a četba,,https://mujrozhlas.croapi.cz/topics/671d0806-2afe-4282-ae90-319b6ef369a2/episodes,100,"[{'type': 'episode', 'id': 'b7fe6661-208d-3755-b98b-959a98b7775d'}, {'type': 'episode', 'id': 'eab33c96-9ec9-3a03-adfc-6c67beab8946'}, {'type': 'episode', 'id': '1f4f288a-99d7-3ff2-988a-dfab6dbaca00'}, {'type': 'episode', 'id': '8de3391f-2bd5-305e-9e27-54ba50924e47'}, {'type': 'episode', 'id': '1119767f-d032-37ea-a4d2-f649c201802a'}, {'type': 'episode', 'id': 'f3e47e88-9f10-3a2e-8e36-e060ec96124c'}, {'type': 'episode', 'id': '11a004a1-0f0c-31c0-8f9b-c33d1c17f198'}, {'type': 'episode', 'id': '7186534e-5c2e-3a26-94ff-68330010aa47'}, {'type': 'episode', 'id': '39ee2590-2aa8-354a-8678-644374d4fd99'}, {'type': 'episode', 'id': '9409463e-4998-34cf-9da8-78cd74ba5e75'}]"
topic,bf9e35ee-6465-44a2-930b-cac77a5faea5,Hudba,"Hudba, Muzika, Vážná hudba, noty, skladatelé, muzikant, hudebník",24,4f3b0b91-18c3-3c22-a61e-953743413f24,https://www.mujrozhlas.cz/sites/default/files/2020-03/hudba.png,967,961,"50,50",,,,Hudba,,https://mujrozhlas.croapi.cz/topics/bf9e35ee-6465-44a2-930b-cac77a5faea5/episodes,100,"[{'type': 'episode', 'id': 'c64e3071-f11d-3590-891a-299cb8b11526'}, {'type': 'episode', 'id': '5355babc-bfb9-3904-b7f0-0bbcc703b7c5'}, {'type': 'episode', 'id': 'f9ea4618-9b75-3578-8519-74f6784fd91f'}, {'type': 'episode', 'id': 'd4b34ac1-e869-36b0-a706-fa5a7b3884cd'}, {'type': 'episode', 'id': '664a779c-2373-3644-80e8-a53d9e12de9a'}, {'type': 'episode', 'id': 'cab6e9f9-e8c2-3152-b1e2-925e30b61783'}, {'type': 'episode', 'id': '28abe120-8847-3259-8799-2c15604937d6'}, {'type': 'episode', 'id': '526223b9-0580-36cc-9d25-aaf44c9ba839'}, {'type': 'episode', 'id': 'f5d1d982-16d0-3e5e-ba6d-a1d46f025bd2'}, {'type': 'episode', 'id': 'ad232ffa-16c6-3213-a55e-462e526d7ca5'}]"
topic,ceb50514-8068-4ada-97c1-87351b4bde29,Jídlo a gastronomie,"Gastronomie, Gastro, Food, recept, Recepty, Vaření, jídlo, jídla",10,eedc25ec-d6ae-3787-898b-f0902e1b6ca7,https://www.mujrozhlas.cz/sites/default/files/2020-03/Jidlo.jpg,2000,2000,"50,50",,,,Jídlo a gastronomie,,https://mujrozhlas.croapi.cz/topics/ceb50514-8068-4ada-97c1-87351b4bde29/episodes,100,"[{'type': 'episode', 'id': '81b589bd-7178-3b6d-a526-59af73cd1c09'}, {'type': 'episode', 'id': '37349c33-dad0-3eb2-bccb-b26eabed92c7'}, {'type': 'episode', 'id': '035d632a-6226-3a35-b119-2107c400ada7'}, {'type': 'episode', 'id': 'd1c2a9dd-0067-35b8-a426-0030ceeba017'}, {'type': 'episode', 'id': 'd60370c5-f415-379b-81cc-e8f1ea0659da'}, {'type': 'episode', 'id': '409e0e03-7ad8-3579-8d0f-c8a96b08316d'}, {'type': 'episode', 'id': 'fe351db4-5d72-3a4b-91f3-dec8601a1885'}, {'type': 'episode', 'id': 'b82774d7-44a0-3c09-90d7-276775f8d102'}, {'type': 'episode', 'id': 'cfc0ae2f-e411-344a-b0d4-ee5d3a345282'}, {'type': 'episode', 'id': 'ae20f14c-0b85-39fa-8f42-53f93b04b2cf'}]"
